"time","median","q025","q975","variable"
0,3,3,3,"I2"
1,3.93817362201206,2.42985787046677,7.03791385636829,"I2"
2,4.97814845377539,1.90598282893682,15.8709267362388,"I2"
3,6.07452529755583,1.44880845844432,34.414391907534,"I2"
4,7.15649502584401,1.06789523724995,71.7529911526146,"I2"
5,8.19132112045488,0.763728545539035,143.741885893024,"I2"
6,9.07326236795209,0.530276143391253,276.131955822332,"I2"
7,9.7184416857479,0.357660183716354,506.635230308192,"I2"
8,9.69978202250412,0.22717894307186,812.3131676339,"I2"
9,8.93316309872823,0.143225242883116,917.724728641488,"I2"
10,8.41115933214281,0.0885416028503899,1261.75569517422,"I2"
11,7.55900597497211,0.0530955953095391,1557.0857510446,"I2"
12,6.1790518115771,0.0218472346210351,1522.16132033924,"I2"
13,5.26658697779894,0.010504672889383,1762.58782760029,"I2"
14,4.33493367355304,0.0047606424171432,1654.0325174859,"I2"
15,3.45894619085774,0.00200615525692574,1405.06319185373,"I2"
16,2.42009912379697,0.000829655449061329,1113.63816251513,"I2"
17,1.73931868849361,0.000321836933011256,1054.44676977892,"I2"
18,1.29624459314998,0.000119994292849778,936.871108826838,"I2"
19,0.891181651271789,4.3232174034053e-05,795.39891771401,"I2"
20,0.586141148842643,1.51411604590841e-05,612.394974967453,"I2"
21,0.323911872765274,5.1812549382231e-06,397.833046958203,"I2"
22,0.189455406727664,1.72705855710888e-06,275.181191981585,"I2"
23,0.114847486627161,5.85168888804397e-07,231.400882115521,"I2"
24,0.0687546596591622,1.96348735251293e-07,190.442746060072,"I2"
25,0.0406062393904948,6.65071005553011e-08,151.661745007946,"I2"
26,0.0241925196787521,2.25783540591412e-08,111.405595540393,"I2"
27,0.0143540370264457,5.24170730162679e-09,72.7058239675536,"I2"
28,0.00835299240301048,2.4878253911969e-09,52.2975218053383,"I2"
29,0.00480384425167472,9.65944911041909e-10,34.7504608376715,"I2"
30,0.00272316052695485,5.19259005582545e-10,22.5289402901258,"I2"
31,0.00151292098820591,3.7707199494459e-10,15.1005901597336,"I2"
32,0.000781225248863966,1.32494542243678e-11,10.5162758164711,"I2"
33,0.000397390852009807,-2.0948809930432e-12,7.19371177948583,"I2"
34,0.000211842407377428,-3.65089330577598e-09,4.83549897251168,"I2"
35,0.000108140013129215,-4.32082478246475e-10,3.19513822586261,"I2"
36,5.42196849460853e-05,-2.1359819712496e-10,2.07611937149467,"I2"
37,2.67651839033786e-05,-1.39043276946398e-10,1.3270174352542,"I2"
38,1.25794533384162e-05,-7.27916597390141e-11,0.834649765910616,"I2"
39,5.83060291788091e-06,-5.48110640007956e-10,0.516740851609981,"I2"
40,2.79606892341802e-06,-6.71509229083706e-10,0.315002479691662,"I2"
41,1.32766325477492e-06,-1.43623313834681e-10,0.192396122815252,"I2"
42,6.20756259795961e-07,-4.0867792349264e-11,0.126130964694532,"I2"
43,2.86633476191079e-07,-1.28633706163118e-09,0.08170431016356,"I2"
44,1.23129434903973e-07,-5.07805287489185e-10,0.0523087323525638,"I2"
45,5.44966185309122e-08,-9.4103224986144e-11,0.0319227152175753,"I2"
46,2.34020236045802e-08,-6.56694190170729e-10,0.0180561167961273,"I2"
47,1.00617402858832e-08,-9.55452832520396e-10,0.0100804865665178,"I2"
48,2.80265514782245e-09,-4.94826787936213e-09,0.00555662936885978,"I2"
49,1.23256683542308e-09,-2.02826893875938e-09,0.00302221505732859,"I2"
50,7.03713036565774e-10,-9.57757220045192e-10,0.00161870056331214,"I2"
51,4.31161221440826e-10,-6.96288301175077e-10,0.000856283692856378,"I2"
